trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
114,False,"{'a': 0.5, 'e': 0.3230332564222529}",20,9,11.514109865603041,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.31981902181630384}",25,16,-30.49320771813552,"{0: 6, 1: 0, 2: 2, 3: 1, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.31663676937905316}",20,1,22.046137484756738,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.3134861808826053}",20,12,2.404397707723674,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.31036694126548503}",20,7,-13.444878022131373,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.30727873860113125}",25,7,-10.633730024221437,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.3042212640667041}",25,15,9.20044593894387,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.30119421191220214}",25,10,12.815484678642074,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.2981972794298874}",30,20,9.30000653914545,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.2952301669240142}",20,12,-52.47049420049915,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 1}",1
124,False,"{'a': 0.5, 'e': 0.2922925776808594}",30,15,-13.31620363841831,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.2893842179390506}",20,10,4.855407961004764,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.2865047968601901}",20,6,-16.23114026585312,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
127,False,"{'a': 0.5, 'e': 0.2836540264997704}",20,10,-3.2843323048326196,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.2808316217783798}",20,12,1.1909860886552446,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.27803730045319414}",25,6,20.166368843600537,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.27527078308975234}",20,15,1.79179054698685,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.2725317930340126}",20,13,11.16061244745641,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.2698200563846868}",25,10,12.498711245466264,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.26713530196585034}",30,18,-12.564184892256307,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.26447726129982396}",20,6,-3.8655154012270083,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.261845668580326}",35,25,18.327670898950306,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.2592402606458915}",30,16,28.420100903781513,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.2566607769535559}",35,20,7.293139233025894,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.25410695955280027}",20,3,-81.28230921011031,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 2}",1
139,False,"{'a': 0.5, 'e': 0.25157855305975646}",20,15,-1.307115982832954,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.24907530463166816}",20,13,13.932089424429904,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
